Date,close,ret,rf,state,lam,p_bear,raw_state,vm_alarm,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
2022-05-05,115.4814910888672,-0.0470754986859851,3.186507830544124e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-05-06,114.72917175292967,-0.0065146312958376,3.2341269746659296e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-05-09,111.52210235595705,-0.027953390998752,3.174603221908449e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-05-10,113.3895492553711,0.0167450833508635,3.4841270673842654e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-05-11,112.60401916503906,-0.0069277115527013,3.503968318303426e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-05-12,111.85218811035156,-0.006676769268649,3.5912697277371846e-05,1.0,,0.9436619718309859,1,0.9810765195652584,0.3092943307225928,0.056338028169014086,3,3,-0.38107651956525845
2022-05-13,115.03050994873048,0.0284153747197439,3.742063565859719e-05,1.0,,0.8681481481481481,1,0.8094833112138655,0.2448979591836735,0.13185185185185186,3,3,-0.20948331121386554
2022-05-16,113.43911743164062,-0.0138345254471978,3.8888889645773273e-05,1.0,,0.8681481481481481,1,0.7785406711036776,0.2448979591836735,0.13185185185185186,3,3,-0.17854067110367766
2022-05-17,115.44929504394533,0.0177203213302152,4.119047569850135e-05,1.0,,0.8681481481481481,1,0.7785406711036776,0.2448979591836735,0.13185185185185186,3,3,-0.17854067110367766
2022-05-18,110.91597747802734,-0.0392667409895607,3.980158813416012e-05,1.0,,0.9206049149338374,1,0.951112008844162,0.2702702702702703,0.07939508506616257,3,3,-0.35111200884416205
2022-05-19,109.41380310058594,-0.0135433542722822,3.968253968253968e-05,1.0,,0.8681481481481481,1,0.7836305193822435,0.2448979591836735,0.13185185185185186,3,3,-0.1836305193822435
2022-05-20,107.95076751708984,-0.0133715814827413,3.880952322293841e-05,1.0,,0.8681481481481481,1,0.8128923323212378,0.2448979591836735,0.13185185185185186,3,3,-0.21289233232123783
2022-05-23,110.50809478759766,0.0236897553331703,3.940476075051322e-05,1.0,,0.8743335872048743,1,0.8347720300048511,0.2448979591836735,0.12566641279512564,3,3,-0.23477203000485114
2022-05-24,105.03860473632812,-0.0494940217889212,4.138888820769295e-05,1.0,,0.9206049149338374,1,0.9268134689365192,0.2702702702702703,0.07939508506616257,3,3,-0.3268134689365192
2022-05-25,104.87506103515624,-0.0015569866106125,4.146825226526412e-05,1.0,,0.9307692307692308,1,0.9593366147514896,0.2702702702702703,0.06923076923076923,3,3,-0.3593366147514896
2022-05-26,106.84508514404295,0.0187844859344237,4.079365068011814e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-05-27,111.3293228149414,0.04196952686081,4.06746022284977e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-05-31,112.7621078491211,0.0128697902578762,4.0873014737689306e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-06-01,112.89097595214844,0.0011428316256714,4.376984304851956e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-06-02,116.58869171142578,0.0327547505731964,4.4166668066902766e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-06-03,113.53426361083984,-0.026198322116403,4.503968216124035e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-06-06,115.79373931884766,0.0199012671254255,4.603174470719837e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-06-07,116.11984252929688,0.0028162421592696,4.861111205721658e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-06-08,116.16394805908205,0.0003798276747923,4.892857301802862e-05,1.0,,0.8681481481481481,1,0.7582244158705276,0.2448979591836735,0.13185185185185186,3,3,-0.1582244158705276
2022-06-09,113.82617950439452,-0.0201247339966313,4.912698552722023e-05,1.0,,0.9107142857142857,1,0.916962603433156,0.2702702702702703,0.08928571428571429,3,3,-0.3169626034331561
2022-06-10,110.18446350097656,-0.0319936592730616,5.111111061913627e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-06-13,105.45738983154295,-0.0429014537915476,5.944444546623834e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-06-14,105.77755737304688,0.0030359896259082,6.916666787768166e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-06-15,108.79975128173828,0.0285712204341512,6.72619068433368e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
